ProvincePCode,DistrictPCode,LocalAuthority,DistrictType,WardPCode,WardNumber
13,1305,Mudzi RDC,Rural District,130516,16
13,1305,Mudzi RDC,Rural District,130517,17
13,1305,Mudzi RDC,Rural District,130518,18
13,1306,Murehwa RDC,Rural District,130601,1
13,1306,Murehwa RDC,Rural District,130602,2
13,1306,Murehwa RDC,Rural District,130603,3
13,1306,Murehwa RDC,Rural District,130604,4
13,1306,Murehwa RDC,Rural District,130605,5
13,1306,Murehwa RDC,Rural District,130606,6
13,1306,Murehwa RDC,Rural District,130607,7
13,1306,Murehwa RDC,Rural District,130608,8
13,1306,Murehwa RDC,Rural District,130609,9
13,1306,Murehwa RDC,Rural District,130610,10
13,1306,Murehwa RDC,Rural District,130611,11
13,1306,Murehwa RDC,Rural District,130612,12
13,1306,Murehwa RDC,Rural District,130613,13
13,1306,Murehwa RDC,Rural District,130614,14
13,1306,Murehwa RDC,Rural District,130615,15
13,1306,Murehwa RDC,Rural District,130616,16
13,1306,Murehwa RDC,Rural District,130617,17
13,1306,Murehwa RDC,Rural District,130618,18
13,1306,Murehwa RDC,Rural District,130619,19
13,1306,Murehwa RDC,Rural District,130620,20
13,1306,Murehwa RDC,Rural District,130621,21
13,1306,Murehwa RDC,Rural District,130622,22
13,1306,Murehwa RDC,Rural District,130623,23
13,1306,Murehwa RDC,Rural District,130624,24
13,1306,Murehwa RDC,Rural District,130625,25
13,1306,Murehwa RDC,Rural District,130626,26
13,1306,Murehwa RDC,Rural District,130627,27
13,1306,Murehwa RDC,Rural District,130628,28
13,1306,Murehwa RDC,Rural District,130629,29
13,1306,Murehwa RDC,Rural District,130630,30
13,1307,Mutoko RDC,Rural District,130701,1
13,1307,Mutoko RDC,Rural District,130702,2
13,1307,Mutoko RDC,Rural District,130703,3
13,1307,Mutoko RDC,Rural District,130704,4
13,1307,Mutoko RDC,Rural District,130705,5
13,1307,Mutoko RDC,Rural District,130706,6
13,1307,Mutoko RDC,Rural District,130707,7
13,1307,Mutoko RDC,Rural District,130708,8
13,1307,Mutoko RDC,Rural District,130709,9
13,1307,Mutoko RDC,Rural District,130710,10
13,1307,Mutoko RDC,Rural District,130711,11
13,1307,Mutoko RDC,Rural District,130712,12
13,1307,Mutoko RDC,Rural District,130713,13
13,1307,Mutoko RDC,Rural District,130714,14
13,1307,Mutoko RDC,Rural District,130715,15
13,1307,Mutoko RDC,Rural District,130716,16
13,1307,Mutoko RDC,Rural District,130717,17
13,1307,Mutoko RDC,Rural District,130718,18
13,1307,Mutoko RDC,Rural District,130719,19
13,1307,Mutoko RDC,Rural District,130720,20
13,1307,Mutoko RDC,Rural District,130721,21
13,1307,Mutoko RDC,Rural District,130722,22
13,1307,Mutoko RDC,Rural District,130723,23
13,1307,Mutoko RDC,Rural District,130724,24
13,1307,Mutoko RDC,Rural District,130725,25
13,1307,Mutoko RDC,Rural District,130726,26
13,1307,Mutoko RDC,Rural District,130727,27
13,1307,Mutoko RDC,Rural District,130728,28
13,1307,Mutoko RDC,Rural District,130729,29
13,1308,Manyame RDC,Rural District,130801,1
13,1308,Manyame RDC,Rural District,130802,2
13,1308,Manyame RDC,Rural District,130803,3
13,1308,Manyame RDC,Rural District,130804,4
13,1308,Manyame RDC,Rural District,130805,5
13,1308,Manyame RDC,Rural District,130806,6
13,1308,Manyame RDC,Rural District,130807,7
13,1308,Manyame RDC,Rural District,130808,8
13,1308,Manyame RDC,Rural District,130809,9
13,1308,Manyame RDC,Rural District,130810,10
13,1308,Manyame RDC,Rural District,130811,11
13,1308,Manyame RDC,Rural District,130812,12
13,1308,Manyame RDC,Rural District,130813,13
13,1308,Manyame RDC,Rural District,130814,14
13,1308,Manyame RDC,Rural District,130815,15
13,1308,Manyame RDC,Rural District,130816,16
13,1308,Manyame RDC,Rural District,130817,17
13,1308,Manyame RDC,Rural District,130818,18
13,1308,Manyame RDC,Rural District,130819,19
13,1308,Manyame RDC,Rural District,130820,20
13,1308,Manyame RDC,Rural District,130821,21
13,1309,Zvataida (Uzumba Maramba Pfungwe) RDC,Rural District,130901,1
13,1309,Zvataida (Uzumba Maramba Pfungwe) RDC,Rural District,130902,2
13,1309,Zvataida (Uzumba Maramba Pfungwe) RDC,Rural District,130903,3
13,1309,Zvataida (Uzumba Maramba Pfungwe) RDC,Rural District,130904,4
13,1309,Zvataida (Uzumba Maramba Pfungwe) RDC,Rural District,130905,5
13,1309,Zvataida (Uzumba Maramba Pfungwe) RDC,Rural District,130906,6
13,1309,Zvataida (Uzumba Maramba Pfungwe) RDC,Rural District,130907,7
13,1309,Zvataida (Uzumba Maramba Pfungwe) RDC,Rural District,130908,8
13,1309,Zvataida (Uzumba Maramba Pfungwe) RDC,Rural District,130909,9
13,1309,Zvataida (Uzumba Maramba Pfungwe) RDC,Rural District,130910,10
13,1309,Zvataida (Uzumba Maramba Pfungwe) RDC,Rural District,130911,11
13,1309,Zvataida (Uzumba Maramba Pfungwe) RDC,Rural District,130912,12
13,1309,Zvataida (Uzumba Maramba Pfungwe) RDC,Rural District,130913,13
13,1309,Zvataida (Uzumba Maramba Pfungwe) RDC,Rural District,130914,14
13,1309,Zvataida (Uzumba Maramba Pfungwe) RDC,Rural District,130915,15
13,1309,Zvataida (Uzumba Maramba Pfungwe) RDC,Rural District,130916,16
13,1309,Zvataida (Uzumba Maramba Pfungwe) RDC,Rural District,130917,17
13,1321,Marondera Municipality,Urban District,132101,1
13,1321,Marondera Municipality,Urban District,132102,2
13,1321,Marondera Municipality,Urban District,132103,3
13,1321,Marondera Municipality,Urban District,132104,4
13,1321,Marondera Municipality,Urban District,132105,5
13,1321,Marondera Municipality,Urban District,132106,6
13,1321,Marondera Municipality,Urban District,132107,7
13,1321,Marondera Municipality,Urban District,132108,8
13,1321,Marondera Municipality,Urban District,132109,9
13,1321,Marondera Municipality,Urban District,132110,10
13,1321,Marondera Municipality,Urban District,132111,11
13,1321,Marondera Municipality,Urban District,132112,12
13,1326,Ruwa Local Board,Urban District,132601,1
13,1326,Ruwa Local Board,Urban District,132602,2
13,1326,Ruwa Local Board,Urban District,132603,3
13,1326,Ruwa Local Board,Urban District,132604,4
13,1326,Ruwa Local Board,Urban District,132605,5
13,1326,Ruwa Local Board,Urban District,132606,6
13,1326,Ruwa Local Board,Urban District,132607,7
13,1326,Ruwa Local Board,Urban District,132608,8
13,1326,Ruwa Local Board,Urban District,132609,9
14,1401,Chegutu RDC,Rural District,140101,1
14,1401,Chegutu RDC,Rural District,140102,2
14,1401,Chegutu RDC,Rural District,140103,3
14,1401,Chegutu RDC,Rural District,140104,4
14,1401,Chegutu RDC,Rural District,140105,5
14,1401,Chegutu RDC,Rural District,140106,6
14,1401,Chegutu RDC,Rural District,140107,7
14,1401,Chegutu RDC,Rural District,140108,8
14,1401,Chegutu RDC,Rural District,140109,9
14,1401,Chegutu RDC,Rural District,140110,10
14,1401,Chegutu RDC,Rural District,140111,11
14,1401,Chegutu RDC,Rural District,140112,12
14,1401,Chegutu RDC,Rural District,140113,13
14,1401,Chegutu RDC,Rural District,140114,14
14,1401,Chegutu RDC,Rural District,140115,15
14,1401,Chegutu RDC,Rural District,140116,16
14,1401,Chegutu RDC,Rural District,140117,17
14,1401,Chegutu RDC,Rural District,140118,18
14,1401,Chegutu RDC,Rural District,140119,19
14,1401,Chegutu RDC,Rural District,140120,20
14,1401,Chegutu RDC,Rural District,140121,21
14,1401,Chegutu RDC,Rural District,140122,22
14,1401,Chegutu RDC,Rural District,140123,23
14,1401,Chegutu RDC,Rural District,140124,24
14,1401,Chegutu RDC,Rural District,140125,25
14,1401,Chegutu RDC,Rural District,140126,26
14,1401,Chegutu RDC,Rural District,140127,27
14,1401,Chegutu RDC,Rural District,140128,28
14,1401,Chegutu RDC,Rural District,140129,29
14,1402,Hurungwe RDC,Rural District,140201,1
14,1402,Hurungwe RDC,Rural District,140202,2
14,1402,Hurungwe RDC,Rural District,140203,3
14,1402,Hurungwe RDC,Rural District,140204,4
14,1402,Hurungwe RDC,Rural District,140205,5
14,1402,Hurungwe RDC,Rural District,140206,6
14,1402,Hurungwe RDC,Rural District,140207,7
14,1402,Hurungwe RDC,Rural District,140208,8
14,1402,Hurungwe RDC,Rural District,140209,9
14,1402,Hurungwe RDC,Rural District,140210,10
14,1402,Hurungwe RDC,Rural District,140211,11
14,1402,Hurungwe RDC,Rural District,140212,12
14,1402,Hurungwe RDC,Rural District,140213,13
14,1402,Hurungwe RDC,Rural District,140214,14
14,1402,Hurungwe RDC,Rural District,140215,15
14,1402,Hurungwe RDC,Rural District,140216,16
14,1402,Hurungwe RDC,Rural District,140217,17
14,1402,Hurungwe RDC,Rural District,140218,18
14,1402,Hurungwe RDC,Rural District,140219,19
14,1402,Hurungwe RDC,Rural District,140220,20
14,1402,Hurungwe RDC,Rural District,140221,21
14,1402,Hurungwe RDC,Rural District,140222,22
14,1402,Hurungwe RDC,Rural District,140223,23
14,1402,Hurungwe RDC,Rural District,140224,24
14,1402,Hurungwe RDC,Rural District,140225,25
14,1402,Hurungwe RDC,Rural District,140226,26
14,1403,Kadoma City Council,Urban District,140301,1
14,1403,Kadoma City Council,Urban District,140302,2
14,1403,Kadoma City Council,Urban District,140303,3
14,1403,Kadoma City Council,Urban District,140304,4
14,1403,Kadoma City Council,Urban District,140305,5
14,1403,Kadoma City Council,Urban District,140306,6
14,1403,Kadoma City Council,Urban District,140307,7
14,1403,Kadoma City Council,Urban District,140308,8
14,1403,Kadoma City Council,Urban District,140309,9
14,1403,Kadoma City Council,Urban District,140310,10
14,1403,Kadoma City Council,Urban District,140311,11
14,1403,Kadoma City Council,Urban District,140312,12
14,1403,Kadoma City Council,Urban District,140313,13
14,1403,Kadoma City Council,Urban District,140314,14
14,1403,Kadoma City Council,Urban District,140315,15
14,1403,Kadoma City Council,Urban District,140316,16
14,1403,Kadoma City Council,Urban District,140317,17
14,1404,Nyaminyami RDC,Rural District,140401,1
14,1404,Nyaminyami RDC,Rural District,140402,2
14,1404,Nyaminyami RDC,Rural District,140403,3
14,1404,Nyaminyami RDC,Rural District,140404,4
14,1404,Nyaminyami RDC,Rural District,140405,5
14,1404,Nyaminyami RDC,Rural District,140406,6
14,1404,Nyaminyami RDC,Rural District,140407,7
14,1404,Nyaminyami RDC,Rural District,140408,8
14,1404,Nyaminyami RDC,Rural District,140409,9
14,1404,Nyaminyami RDC,Rural District,140410,10
14,1404,Nyaminyami RDC,Rural District,140411,11
14,1404,Nyaminyami RDC,Rural District,140412,12
14,1405,Makonde RDC,Rural District,140501,1
14,1405,Makonde RDC,Rural District,140502,2
14,1405,Makonde RDC,Rural District,140503,3
14,1405,Makonde RDC,Rural District,140504,4
14,1405,Makonde RDC,Rural District,140505,5
14,1405,Makonde RDC,Rural District,140506,6
14,1405,Makonde RDC,Rural District,140507,7
14,1405,Makonde RDC,Rural District,140508,8
14,1405,Makonde RDC,Rural District,140509,9
14,1405,Makonde RDC,Rural District,140510,10
14,1405,Makonde RDC,Rural District,140511,11
14,1405,Makonde RDC,Rural District,140512,12
14,1405,Makonde RDC,Rural District,140513,13
14,1405,Makonde RDC,Rural District,140514,14
14,1405,Makonde RDC,Rural District,140515,15
14,1405,Makonde RDC,Rural District,140516,16
14,1405,Makonde RDC,Rural District,140517,17
14,1405,Makonde RDC,Rural District,140518,18
14,1405,Makonde RDC,Rural District,140519,19
14,1406,Zvimba RDC,Rural District,140601,1
14,1406,Zvimba RDC,Rural District,140602,2
14,1406,Zvimba RDC,Rural District,140603,3
14,1406,Zvimba RDC,Rural District,140604,4
14,1406,Zvimba RDC,Rural District,140605,5
14,1406,Zvimba RDC,Rural District,140606,6
14,1406,Zvimba RDC,Rural District,140607,7
14,1406,Zvimba RDC,Rural District,140608,8
14,1406,Zvimba RDC,Rural District,140609,9
14,1406,Zvimba RDC,Rural District,140610,10
14,1406,Zvimba RDC,Rural District,140611,11
14,1406,Zvimba RDC,Rural District,140612,12
14,1406,Zvimba RDC,Rural District,140613,13
14,1406,Zvimba RDC,Rural District,140614,14
14,1406,Zvimba RDC,Rural District,140615,15
14,1406,Zvimba RDC,Rural District,140616,16
14,1406,Zvimba RDC,Rural District,140617,17
14,1406,Zvimba RDC,Rural District,140618,18
14,1406,Zvimba RDC,Rural District,140619,19
14,1406,Zvimba RDC,Rural District,140620,20
14,1406,Zvimba RDC,Rural District,140621,21
14,1406,Zvimba RDC,Rural District,140622,22
14,1406,Zvimba RDC,Rural District,140623,23
14,1406,Zvimba RDC,Rural District,140624,24
14,1406,Zvimba RDC,Rural District,140625,25
14,1406,Zvimba RDC,Rural District,140626,26
14,1406,Zvimba RDC,Rural District,140627,27
14,1406,Zvimba RDC,Rural District,140628,28
14,1406,Zvimba RDC,Rural District,140629,29
14,1406,Zvimba RDC,Rural District,140630,30
14,1406,Zvimba RDC,Rural District,140631,31
14,1406,Zvimba RDC,Rural District,140632,32
14,1406,Zvimba RDC,Rural District,140633,33
14,1406,Zvimba RDC,Rural District,140634,34
14,1406,Zvimba RDC,Rural District,140635,35
14,1421,Chinhoyi Municipality,Urban District,142101,1
14,1421,Chinhoyi Municipality,Urban District,142102,2
14,1421,Chinhoyi Municipality,Urban District,142103,3
14,1421,Chinhoyi Municipality,Urban District,142104,4
14,1421,Chinhoyi Municipality,Urban District,142105,5
14,1421,Chinhoyi Municipality,Urban District,142106,6
14,1421,Chinhoyi Municipality,Urban District,142107,7
14,1421,Chinhoyi Municipality,Urban District,142108,8
14,1421,Chinhoyi Municipality,Urban District,142109,9
14,1421,Chinhoyi Municipality,Urban District,142110,10
14,1421,Chinhoyi Municipality,Urban District,142111,11
14,1421,Chinhoyi Municipality,Urban District,142112,12
14,1421,Chinhoyi Municipality,Urban District,142113,13
14,1421,Chinhoyi Municipality,Urban District,142114,14
14,1421,Chinhoyi Municipality,Urban District,142115,15
14,1423,Chegutu Municipality,Urban District,142301,1
14,1423,Chegutu Municipality,Urban District,142302,2
14,1423,Chegutu Municipality,Urban District,142303,3
14,1423,Chegutu Municipality,Urban District,142304,4
14,1423,Chegutu Municipality,Urban District,142305,5
14,1423,Chegutu Municipality,Urban District,142306,6
14,1423,Chegutu Municipality,Urban District,142307,7
14,1423,Chegutu Municipality,Urban District,142308,8
14,1423,Chegutu Municipality,Urban District,142309,9
14,1423,Chegutu Municipality,Urban District,142310,10
14,1423,Chegutu Municipality,Urban District,142311,11
14,1423,Chegutu Municipality,Urban District,142312,12
14,1424,Kariba Municipality,Urban District,142401,1
14,1424,Kariba Municipality,Urban District,142402,2
14,1424,Kariba Municipality,Urban District,142403,3
14,1424,Kariba Municipality,Urban District,142404,4
14,1424,Kariba Municipality,Urban District,142405,5
14,1424,Kariba Municipality,Urban District,142406,6
14,1424,Kariba Municipality,Urban District,142407,7
14,1424,Kariba Municipality,Urban District,142408,8
14,1424,Kariba Municipality,Urban District,142409,9
14,1425,Norton Town Council,Urban District,142501,1
14,1425,Norton Town Council,Urban District,142502,2
14,1425,Norton Town Council,Urban District,142503,3
14,1425,Norton Town Council,Urban District,142504,4
14,1425,Norton Town Council,Urban District,142505,5
14,1425,Norton Town Council,Urban District,142506,6
14,1425,Norton Town Council,Urban District,142507,7
14,1425,Norton Town Council,Urban District,142508,8
14,1425,Norton Town Council,Urban District,142509,9
14,1425,Norton Town Council,Urban District,142510,10
14,1425,Norton Town Council,Urban District,142511,11
14,1425,Norton Town Council,Urban District,142512,12
14,1425,Norton Town Council,Urban District,142513,13
14,1426,Karoi Town Council,Urban District,142601,1
14,1426,Karoi Town Council,Urban District,142602,2
14,1426,Karoi Town Council,Urban District,142603,3
14,1426,Karoi Town Council,Urban District,142604,4
14,1426,Karoi Town Council,Urban District,142605,5
14,1426,Karoi Town Council,Urban District,142606,6
14,1426,Karoi Town Council,Urban District,142607,7
14,1426,Karoi Town Council,Urban District,142608,8
14,1426,Karoi Town Council,Urban District,142609,9
14,1426,Karoi Town Council,Urban District,142610,10
14,1427,Mhondoro-Ngezi RDC,Rural District,142701,1
14,1427,Mhondoro-Ngezi RDC,Rural District,142702,2
14,1427,Mhondoro-Ngezi RDC,Rural District,142703,3
14,1427,Mhondoro-Ngezi RDC,Rural District,142704,4
14,1427,Mhondoro-Ngezi RDC,Rural District,142705,5
14,1427,Mhondoro-Ngezi RDC,Rural District,142706,6
14,1427,Mhondoro-Ngezi RDC,Rural District,142707,7
14,1427,Mhondoro-Ngezi RDC,Rural District,142708,8
14,1427,Mhondoro-Ngezi RDC,Rural District,142709,9
14,1427,Mhondoro-Ngezi RDC,Rural District,142710,10
14,1427,Mhondoro-Ngezi RDC,Rural District,142711,11
14,1427,Mhondoro-Ngezi RDC,Rural District,142712,12
14,1427,Mhondoro-Ngezi RDC,Rural District,142713,13
14,1427,Mhondoro-Ngezi RDC,Rural District,142714,14
14,1427,Mhondoro-Ngezi RDC,Rural District,142715,15
14,1427,Mhondoro-Ngezi RDC,Rural District,142716,16
14,1428,Sanyati RDC,Rural District,142801,1
14,1428,Sanyati RDC,Rural District,142802,2
14,1428,Sanyati RDC,Rural District,142803,3
14,1428,Sanyati RDC,Rural District,142804,4
14,1428,Sanyati RDC,Rural District,142805,5
14,1428,Sanyati RDC,Rural District,142806,6
14,1428,Sanyati RDC,Rural District,142807,7
14,1428,Sanyati RDC,Rural District,142808,8
14,1428,Sanyati RDC,Rural District,142809,9
14,1428,Sanyati RDC,Rural District,142810,10
14,1428,Sanyati RDC,Rural District,142811,11
14,1428,Sanyati RDC,Rural District,142812,12
14,1428,Sanyati RDC,Rural District,142813,13
14,1428,Sanyati RDC,Rural District,142814,14
14,1428,Sanyati RDC,Rural District,142815,15
14,1428,Sanyati RDC,Rural District,142816,16
14,1428,Sanyati RDC,Rural District,142817,17
14,1428,Sanyati RDC,Rural District,142818,18
15,1501,Binga RDC,Rural District,150101,1
15,1501,Binga RDC,Rural District,150102,2
15,1501,Binga RDC,Rural District,150103,3
15,1501,Binga RDC,Rural District,150104,4
15,1501,Binga RDC,Rural District,150105,5
15,1501,Binga RDC,Rural District,150106,6
15,1501,Binga RDC,Rural District,150107,7
15,1501,Binga RDC,Rural District,150108,8
15,1501,Binga RDC,Rural District,150109,9
15,1501,Binga RDC,Rural District,150110,10
15,1501,Binga RDC,Rural District,150111,11
15,1501,Binga RDC,Rural District,150112,12
15,1501,Binga RDC,Rural District,150113,13
15,1501,Binga RDC,Rural District,150114,14
15,1501,Binga RDC,Rural District,150115,15
15,1501,Binga RDC,Rural District,150116,16
15,1501,Binga RDC,Rural District,150117,17
15,1501,Binga RDC,Rural District,150118,18
15,1501,Binga RDC,Rural District,150119,19
15,1501,Binga RDC,Rural District,150120,20
15,1501,Binga RDC,Rural District,150121,21
15,1501,Binga RDC,Rural District,150122,22
15,1501,Binga RDC,Rural District,150123,23
15,1501,Binga RDC,Rural District,150124,24
15,1501,Binga RDC,Rural District,150125,25
15,1502,Bubi RDC,Rural District,150201,1
15,1502,Bubi RDC,Rural District,150202,2
15,1502,Bubi RDC,Rural District,150203,3
15,1502,Bubi RDC,Rural District,150204,4
15,1502,Bubi RDC,Rural District,150205,5
15,1502,Bubi RDC,Rural District,150206,6
15,1502,Bubi RDC,Rural District,150207,7
15,1502,Bubi RDC,Rural District,150208,8
15,1502,Bubi RDC,Rural District,150209,9
15,1502,Bubi RDC,Rural District,150210,10
15,1502,Bubi RDC,Rural District,150211,11
15,1502,Bubi RDC,Rural District,150212,12
15,1502,Bubi RDC,Rural District,150213,13
15,1502,Bubi RDC,Rural District,150214,14
15,1502,Bubi RDC,Rural District,150215,15
15,1502,Bubi RDC,Rural District,150216,16
15,1502,Bubi RDC,Rural District,150217,17
15,1502,Bubi RDC,Rural District,150218,18
15,1502,Bubi RDC,Rural District,150219,19
15,1502,Bubi RDC,Rural District,150220,20
15,1502,Bubi RDC,Rural District,150221,21
15,1502,Bubi RDC,Rural District,150222,22
15,1502,Bubi RDC,Rural District,150223,23
15,1503,Hwange RDC,Rural District,150301,1
15,1503,Hwange RDC,Rural District,150302,2
15,1503,Hwange RDC,Rural District,150303,3
15,1503,Hwange RDC,Rural District,150304,4
15,1503,Hwange RDC,Rural District,150305,5
15,1503,Hwange RDC,Rural District,150306,6
15,1503,Hwange RDC,Rural District,150307,7
15,1503,Hwange RDC,Rural District,150308,8
15,1503,Hwange RDC,Rural District,150309,9
15,1503,Hwange RDC,Rural District,150310,10
15,1503,Hwange RDC,Rural District,150311,11
15,1503,Hwange RDC,Rural District,150312,12
15,1503,Hwange RDC,Rural District,150313,13
15,1503,Hwange RDC,Rural District,150314,14
15,1503,Hwange RDC,Rural District,150315,15
15,1503,Hwange RDC,Rural District,150316,16
15,1503,Hwange RDC,Rural District,150317,17
15,1503,Hwange RDC,Rural District,150318,18
15,1503,Hwange RDC,Rural District,150319,19
15,1503,Hwange RDC,Rural District,150320,20
15,1504,Kusile RDC,Rural District,150401,1
15,1504,Kusile RDC,Rural District,150402,2
15,1504,Kusile RDC,Rural District,150403,3
15,1504,Kusile RDC,Rural District,150404,4
15,1504,Kusile RDC,Rural District,150405,5
15,1504,Kusile RDC,Rural District,150406,6
15,1504,Kusile RDC,Rural District,150407,7
15,1504,Kusile RDC,Rural District,150408,8
15,1504,Kusile RDC,Rural District,150409,9
15,1504,Kusile RDC,Rural District,150410,10
15,1504,Kusile RDC,Rural District,150411,11
15,1504,Kusile RDC,Rural District,150412,12
15,1504,Kusile RDC,Rural District,150413,13
15,1504,Kusile RDC,Rural District,150414,14
15,1504,Kusile RDC,Rural District,150415,15
15,1504,Kusile RDC,Rural District,150416,16
15,1504,Kusile RDC,Rural District,150417,17
15,1504,Kusile RDC,Rural District,150418,18
15,1504,Kusile RDC,Rural District,150419,19
15,1504,Kusile RDC,Rural District,150420,20
15,1504,Kusile RDC,Rural District,150421,21
15,1504,Kusile RDC,Rural District,150422,22
15,1504,Kusile RDC,Rural District,150423,23
15,1504,Kusile RDC,Rural District,150424,24
15,1504,Kusile RDC,Rural District,150425,25
15,1504,Kusile RDC,Rural District,150426,26
15,1504,Kusile RDC,Rural District,150427,27
15,1504,Kusile RDC,Rural District,150428,28
15,1505,Nkayi RDC,Rural District,150501,1
15,1505,Nkayi RDC,Rural District,150502,2
15,1505,Nkayi RDC,Rural District,150503,3
15,1505,Nkayi RDC,Rural District,150504,4
15,1505,Nkayi RDC,Rural District,150505,5
15,1505,Nkayi RDC,Rural District,150506,6
15,1505,Nkayi RDC,Rural District,150507,7
15,1505,Nkayi RDC,Rural District,150508,8
15,1505,Nkayi RDC,Rural District,150509,9
15,1505,Nkayi RDC,Rural District,150510,10
15,1505,Nkayi RDC,Rural District,150511,11
15,1505,Nkayi RDC,Rural District,150512,12
15,1505,Nkayi RDC,Rural District,150513,13
15,1505,Nkayi RDC,Rural District,150514,14
15,1505,Nkayi RDC,Rural District,150515,15
15,1505,Nkayi RDC,Rural District,150516,16
15,1505,Nkayi RDC,Rural District,150517,17
15,1505,Nkayi RDC,Rural District,150518,18
15,1505,Nkayi RDC,Rural District,150519,19
15,1505,Nkayi RDC,Rural District,150520,20
15,1505,Nkayi RDC,Rural District,150521,21
15,1505,Nkayi RDC,Rural District,150522,22
15,1505,Nkayi RDC,Rural District,150523,23
15,1505,Nkayi RDC,Rural District,150524,24
15,1505,Nkayi RDC,Rural District,150525,25
15,1505,Nkayi RDC,Rural District,150526,26
15,1505,Nkayi RDC,Rural District,150527,27
15,1505,Nkayi RDC,Rural District,150528,28
15,1505,Nkayi RDC,Rural District,150529,29
15,1505,Nkayi RDC,Rural District,150530,30
15,1506,Tsholotsho RDC,Rural District,150601,1
15,1506,Tsholotsho RDC,Rural District,150602,2
15,1506,Tsholotsho RDC,Rural District,150603,3
15,1506,Tsholotsho RDC,Rural District,150604,4
15,1506,Tsholotsho RDC,Rural District,150605,5
15,1506,Tsholotsho RDC,Rural District,150606,6
15,1506,Tsholotsho RDC,Rural District,150607,7
15,1506,Tsholotsho RDC,Rural District,150608,8
15,1506,Tsholotsho RDC,Rural District,150609,9
15,1506,Tsholotsho RDC,Rural District,150610,10
15,1506,Tsholotsho RDC,Rural District,150611,11
15,1506,Tsholotsho RDC,Rural District,150612,12
15,1506,Tsholotsho RDC,Rural District,150613,13
15,1506,Tsholotsho RDC,Rural District,150614,14
15,1506,Tsholotsho RDC,Rural District,150615,15
15,1506,Tsholotsho RDC,Rural District,150616,16
15,1506,Tsholotsho RDC,Rural District,150617,17
15,1506,Tsholotsho RDC,Rural District,150618,18
15,1506,Tsholotsho RDC,Rural District,150619,19
15,1506,Tsholotsho RDC,Rural District,150620,20
15,1506,Tsholotsho RDC,Rural District,150621,21
15,1506,Tsholotsho RDC,Rural District,150622,22
15,1507,Umguza RDC,Rural District,150701,1
15,1507,Umguza RDC,Rural District,150702,2
15,1507,Umguza RDC,Rural District,150703,3
15,1507,Umguza RDC,Rural District,150704,4
15,1507,Umguza RDC,Rural District,150705,5
15,1507,Umguza RDC,Rural District,150706,6
15,1507,Umguza RDC,Rural District,150707,7
15,1507,Umguza RDC,Rural District,150708,8
15,1507,Umguza RDC,Rural District,150709,9
15,1507,Umguza RDC,Rural District,150710,10
15,1507,Umguza RDC,Rural District,150711,11
15,1507,Umguza RDC,Rural District,150712,12
15,1507,Umguza RDC,Rural District,150713,13
15,1507,Umguza RDC,Rural District,150714,14
15,1507,Umguza RDC,Rural District,150715,15
15,1507,Umguza RDC,Rural District,150716,16
15,1507,Umguza RDC,Rural District,150717,17
15,1507,Umguza RDC,Rural District,150718,18
15,1507,Umguza RDC,Rural District,150719,19
15,1521,Hwange Local Board,Urban District,152101,1
15,1521,Hwange Local Board,Urban District,152102,2
15,1521,Hwange Local Board,Urban District,152103,3
15,1521,Hwange Local Board,Urban District,152104,4
15,1521,Hwange Local Board,Urban District,152105,5
15,1521,Hwange Local Board,Urban District,152106,6
15,1521,Hwange Local Board,Urban District,152107,7
15,1521,Hwange Local Board,Urban District,152108,8
15,1521,Hwange Local Board,Urban District,152109,9
15,1521,Hwange Local Board,Urban District,152110,10
15,1521,Hwange Local Board,Urban District,152111,11
15,1521,Hwange Local Board,Urban District,152112,12
15,1521,Hwange Local Board,Urban District,152113,13
15,1521,Hwange Local Board,Urban District,152114,14
15,1521,Hwange Local Board,Urban District,152115,15
15,1522,Victoria Falls Municipality,Urban District,152201,1
15,1522,Victoria Falls Municipality,Urban District,152202,2
15,1522,Victoria Falls Municipality,Urban District,152203,3
15,1522,Victoria Falls Municipality,Urban District,152204,4
15,1522,Victoria Falls Municipality,Urban District,152205,5
15,1522,Victoria Falls Municipality,Urban District,152206,6
15,1522,Victoria Falls Municipality,Urban District,152207,7
15,1522,Victoria Falls Municipality,Urban District,152208,8
15,1522,Victoria Falls Municipality,Urban District,152209,9
15,1522,Victoria Falls Municipality,Urban District,152210,10
15,1522,Victoria Falls Municipality,Urban District,152211,11
16,1601,Beitbridge RDC,Rural District,160101,1
16,1601,Beitbridge RDC,Rural District,160102,2
16,1601,Beitbridge RDC,Rural District,160103,3
16,1601,Beitbridge RDC,Rural District,160104,4
16,1601,Beitbridge RDC,Rural District,160105,5
16,1601,Beitbridge RDC,Rural District,160106,6
16,1601,Beitbridge RDC,Rural District,160107,7
16,1601,Beitbridge RDC,Rural District,160108,8
16,1601,Beitbridge RDC,Rural District,160109,9
16,1601,Beitbridge RDC,Rural District,160110,10
16,1601,Beitbridge RDC,Rural District,160111,11
16,1601,Beitbridge RDC,Rural District,160112,12
16,1601,Beitbridge RDC,Rural District,160113,13
16,1601,Beitbridge RDC,Rural District,160114,14
16,1601,Beitbridge RDC,Rural District,160115,15
16,1602,Bulilima RDC,Rural District,160201,1
16,1602,Bulilima RDC,Rural District,160202,2
16,1602,Bulilima RDC,Rural District,160203,3
16,1602,Bulilima RDC,Rural District,160204,4
